nm_docente;chave;foto
FERNANDO AGUIAR BRITO DE SOUSA;K4788532U2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4788532U2
FERNANDO ALVARO OSTUNI GAUTHIER;K4786441T6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4786441T6
FERNANDO ANTONIO FORCELLINI;K4797308H6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4797308H6
FERNANDO BARTH;K4793333Z3;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4793333Z3
FERNANDO DE LACERDA MORTARI;K4709809T7;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4709809T7
FERNANDO DIAS DE AVILA PIRES;K4783518D8;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4783518D8
FERNANDO DIEFENTHAELER;K4772237D0;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4772237D0
FERNANDO HELLMANN;K4243407D2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4243407D2
FERNANDO HENRIQUE MILANESE;K4791763A0;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4791763A0
FERNANDO JOSE SPANHOL;K4706545H1;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4706545H1
FERNANDO KINOSHITA;K4761763J6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4761763J6
FERNANDO MENDES DE AZEVEDO;K4781407Z6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4781407Z6
FERNANDO OSCAR RUTTKAY PEREIRA;K4781708Z6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4781708Z6
FERNANDO OSNI MACHADO;K4763481T0;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4763481T0
FERNANDO PELISSER;K4778960Y0;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4778960Y0
FERNANDO PONTE DE SOUSA;K4780105T5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4780105T5
